filename,width,height,class,x,y,xmax,ymax,b_width,b_height,label
E:/ras/Vegetation.v1i.tensorflow/train/d57f29d8cbbdd669_jpg.rf.501147a788f9da6bacc781a33960c6d4.jpg,1024,321,Tree,255.0,0.0,652.0,159.0,397.0,159.0,0
E:/ras/Red-billed-quelea-8/select/253_png.rf.90e43826b3a9430e49636829b1e827a2.jpg,640,640,quelea,183.38,354.94,239.3,436.59,55.9,81.6,1
E:/ras/Vegetation.v1i.tensorflow/train/c3d2b1ff4539bbb3_jpg.rf.9e80b682ca668d0da4e79e2211a5ff19.jpg,1024,683,Tree,29.0,293.0,135.0,346.0,106.0,53.0,0
E:/ras/Red-billed-quelea-8/select/339_jpg.rf.adb3294cc029bebe1fdb6605f68b5ae9.jpg,640,640,quelea,301.56,199.08,527.05,427.27,225.5,228.2,1
E:/ras/Red-billed-quelea-8/select/232_jpg.rf.fff1a4adaaf40bd2662f7ac56a75564d.jpg,640,640,quelea,57.77,77.71,181.48,269.21,123.7,191.5,1
E:/ras/Vegetation.v1i.tensorflow/train/0d1ff7e15afd1d1e_jpg.rf.d69cce714efe11654f2eba97885db814.jpg,1024,754,Tree,689.0,0.0,863.0,520.0,174.0,520.0,0
E:/ras/Vegetation.v1i.tensorflow/train/84520db8d9987d3e_jpg.rf.4bf16b3d8efce05436433fe7ebf79641.jpg,1024,685,Tree,0.0,650.0,84.0,684.0,84.0,34.0,0
E:/ras/Red-billed-quelea-8/select/284_jpg.rf.e41f98703816f7d1435774a77e58e3b9.jpg,640,640,quelea,124.56,88.67,300.11,329.92,175.6,241.2,1
E:/ras/Vegetation.v1i.tensorflow/train/d41f0e5d38a22dc3_jpg.rf.73f0a058c637649ff6e7782a7609d20a.jpg,1024,680,Tree,324.0,66.0,382.0,206.0,58.0,140.0,0
E:/ras/Vegetation.v1i.tensorflow/train/0941ca66d45ec38c_jpg.rf.b6d9baaf24eb36fdebbca857fead4d4b.jpg,683,1024,Tree,311.0,0.0,682.0,1023.0,371.0,1023.0,0
E:/ras/House.v1i.tensorflow/train/c6acdec9-8435-4a4b-8342-679d91f6b12d_jpg.rf.232aa3d803be801d08d038b737512aba.jpg,1080,675,house1,247.0,205.0,842.0,578.0,595.0,373.0,2
E:/ras/Vegetation.v1i.tensorflow/train/0bff0b5a0c600657_jpg.rf.5763d183697ecce046740f8732f023a6.jpg,1024,682,Tree,980.0,422.0,997.0,431.0,17.0,9.0,0
E:/ras/Red-billed-quelea-8/select/242_jpg.rf.5134f530604697706de99a30ecef4d93.jpg,640,640,quelea,55.88,148.59,119.58,192.35,63.7,43.8,1
E:/ras/Vegetation.v1i.tensorflow/train/4e83d7f2195a2028_jpg.rf.f2c7aa8631c3534b5319afc619d670b7.jpg,1024,1024,Tree,889.0,349.0,1023.0,571.0,134.0,222.0,0
E:/ras/Vegetation.v1i.tensorflow/train/c10a4036427b5233_jpg.rf.2508fd80ff4aefd2431531354c69ce30.jpg,1024,646,Tree,685.0,293.0,887.0,506.0,202.0,213.0,0
E:/ras/Vegetation.v1i.tensorflow/train/d41f0e5d38a22dc3_jpg.rf.73f0a058c637649ff6e7782a7609d20a.jpg,1024,680,Tree,539.0,0.0,577.0,376.0,38.0,376.0,0
E:/ras/Red-billed-quelea-8/select/1000_F_568836982_2KG2W6HO08XSoy5QglvlYyzGyRg3GgYr_jpg.rf.59b3f6c11f04603c369af17c000cc827.jpg,640,640,quelea,219.92,189.36,447.63,515.35,227.7,326.0,1
E:/ras/Vegetation.v1i.tensorflow/train/791388048cf78a0b_jpg.rf.8d29bff703046a9fe586fe90983ad162.jpg,1024,683,Tree,947.0,193.0,984.0,220.0,37.0,27.0,0
E:/ras/Vegetation.v1i.tensorflow/train/4e8a50807ae7633b_jpg.rf.776e77de074065c11f6927fce4f3e8b6.jpg,1024,768,Tree,473.0,98.0,676.0,370.0,203.0,272.0,0
E:/ras/Vegetation.v1i.tensorflow/train/2f6116550f279628_jpg.rf.fce2dbb2ac164bf7ca687e1d5dfef38d.jpg,1024,768,Tree,527.0,383.0,1023.0,543.0,496.0,160.0,0
E:/ras/Vegetation.v1i.tensorflow/train/d3b0e10d84f25066_jpg.rf.eb36cffe6dd6faea343171a8c29d9844.jpg,612,1024,Tree,0.0,370.0,243.0,979.0,243.0,609.0,0
E:/ras/Vegetation.v1i.tensorflow/train/359bb2890a876478_jpg.rf.972c6a967b9b64102e55377ef4d156bf.jpg,1024,768,Tree,520.0,0.0,1023.0,547.0,503.0,547.0,0
E:/ras/Vegetation.v1i.tensorflow/train/d41f0e5d38a22dc3_jpg.rf.73f0a058c637649ff6e7782a7609d20a.jpg,1024,680,Tree,115.0,8.0,166.0,240.0,51.0,232.0,0
E:/ras/Vegetation.v1i.tensorflow/train/a81fbefbc3d2037a_jpg.rf.890034f9ed9643d24745c02a92249454.jpg,1024,1024,Tree,957.0,199.0,1023.0,286.0,66.0,87.0,0
E:/ras/Vegetation.v1i.tensorflow/train/3b85e7db40bb19e8_jpg.rf.462fcfc95b410cfce3cac939f8c8349c.jpg,1024,768,Tree,556.0,0.0,795.0,198.0,239.0,198.0,0
E:/ras/Vegetation.v1i.tensorflow/train/a5726d4d57b81cda_jpg.rf.ea1cd1a06acb20c45bcf743c1ba5e8ab.jpg,1024,685,Tree,65.0,3.0,159.0,156.0,94.0,153.0,0
E:/ras/Vegetation.v1i.tensorflow/train/420f5af821a55125_jpg.rf.61dc948771c25f0e663b6f875b3544c2.jpg,1024,768,Tree,483.0,410.0,1020.0,609.0,537.0,199.0,0
E:/ras/Red-billed-quelea-8/select/299_jpg.rf.2652661ef8aeab3258f0e299d0b6ec0a.jpg,640,640,quelea,168.42,379.76,261.13,468.59,92.7,88.8,1
E:/ras/Vegetation.v1i.tensorflow/train/d4a2d6060106cc47_jpg.rf.d3726c1af64959f547bc149b5f2a4ffa.jpg,1024,768,Tree,0.0,0.0,234.0,545.0,234.0,545.0,0
E:/ras/Vegetation.v1i.tensorflow/train/36ca747fa61448cd_jpg.rf.58676aa2412959d664844bef4bf741a5.jpg,1024,1024,Tree,156.0,0.0,820.0,174.0,664.0,174.0,0
E:/ras/Vegetation.v1i.tensorflow/train/05a54deae97babea_jpg.rf.948b6db9757ab536b1aad5360fef1900.jpg,1024,686,Tree,0.0,1.0,393.0,294.0,393.0,293.0,0
E:/ras/Red-billed-quelea-8/select/257_png.rf.1bc45d77e3ea20020e84773ac4e7be88.jpg,640,640,quelea,498.39,263.13,606.16,413.66,107.8,150.5,1
E:/ras/Vegetation.v1i.tensorflow/train/c57c4e3e1645bbea_jpg.rf.75e94f006bb8302f360efe1fb4a781f6.jpg,768,1024,Tree,443.0,339.0,591.0,378.0,148.0,39.0,0
E:/ras/Red-billed-quelea-8/select/red-billed-quelea-etosha-national-park-namibia-africa-234527451_jpg.rf.b024c94b4352cbbaf660e042a06ec934.jpg,640,640,quelea,318.17,308.72,428.89,362.73,110.7,54.0,1
E:/ras/Vegetation.v1i.tensorflow/train/6801eb4428b9502b_jpg.rf.64d78fe950f5681eda9bfb056355cc54.jpg,1024,492,Tree,778.0,70.0,1010.0,455.0,232.0,385.0,0
E:/ras/Vegetation.v1i.tensorflow/train/ee64dc6404264b64_jpg.rf.472b122325bd1b808ff62cbc9490cc90.jpg,1024,683,Tree,94.0,209.0,403.0,461.0,309.0,252.0,0
E:/ras/Vegetation.v1i.tensorflow/train/59d09e2f95ca9a34_jpg.rf.87b65b8d5797effe8640695daef023c5.jpg,1024,646,Tree,0.0,0.0,375.0,497.0,375.0,497.0,0
E:/ras/Vegetation.v1i.tensorflow/train/314215bb72cec7d7_jpg.rf.d9a5e0cf69373f5c40b389663c5132bc.jpg,1024,678,Tree,142.0,228.0,324.0,521.0,182.0,293.0,0
E:/ras/Red-billed-quelea-8/select/229_jpg.rf.78fa83f89d1c77994a92ea6e70a8a952.jpg,640,640,quelea,140.51,107.71,225.35,199.33,84.8,91.6,1
E:/ras/Vegetation.v1i.tensorflow/train/4aab0268e4b38835_jpg.rf.28fb5fcdbf4048a06a4e0944478648ee.jpg,1024,768,Tree,0.0,654.0,222.0,685.0,222.0,31.0,0
E:/ras/Vegetation.v1i.tensorflow/train/4eb3aa5518845923_jpg.rf.a8dd2dd089b706172a0c3a3dad4d0c4e.jpg,1024,768,Tree,243.0,447.0,280.0,503.0,37.0,56.0,0
E:/ras/Vegetation.v1i.tensorflow/train/60207de36b34843d_jpg.rf.b5a8e7ae295b12367908efd197df5ffd.jpg,1024,779,Tree,593.0,0.0,1023.0,523.0,430.0,523.0,0
